TITLE	KOLIMO DATE	DATE OF PUBLICATION	DTA-FILENAME	GUTENBERG-PROJECT-FILENAME	TEXTGRID-FILENAME	BEMERKUNG
Albine	NA	1895		albine.txt		
Amerika	NA	1895		amerika1.txt	97185-Schnitzler__Arthur.txt	
Anatol	NA	1893	schnitzler_anatol_1893.TEI-P5.txt	anatol.txt		gp: abweichendes Pubdate 1892
Andreas Thameyers letzter Brief	NA	NA			97209-Schnitzler__Arthur.txt	
Blumen	NA	NA			97197-Schnitzler__Arthur.txt	
Casanovas Heimfahrt	NA	1918		casaheim.txt	97229-Schnitzler__Arthur.txt	
Das neue Lied	NA	NA		neuelied.txt	97218-Schnitzler__Arthur.txt	
Das Schicksal des Freiherrn von Leisenbohg	NA	NA		leisenbo.txt	97216-Schnitzler__Arthur.txt	
Das Tagebuch der Redegonda	NA	NA			97222-Schnitzler__Arthur.txt	
Der Andere	NA	1895		andere.txt	97189-Schnitzler__Arthur.txt	
Der blinde Geronimo und sein Bruder	NA	NA		geronimo.txt	97207-Schnitzler__Arthur.txt	gp: abweichender Titel: Der blinde Geronimo und sein Bruder (1)
Der Ehrentag	1907	NA		ehrentag.txt	97202-Schnitzler__Arthur.txt	
Der einsame Weg	NA	1904		einsweg.txt		
Der Empfindsame	NA	NA			97200-Schnitzler__Arthur.txt	
Der Fürst ist im Hause	NA	1895		fuerst.txt	97187-Schnitzler__Arthur.txt	
Der letzte Brief eines Literaten	NA	NA			97228-Schnitzler__Arthur.txt	
Der Mörder	NA	NA			97223-Schnitzler__Arthur.txt	
Der Ruf des Lebens	NA	1906		rufleben.txt		
Der Schleier der Beatrice	NA	1901		beatrice.txt		
Der Sekundant	NA	NA			97234-Schnitzler__Arthur.txt	
Der Sohn	NA	1899		sohn.txt	97193-Schnitzler__Arthur.txt	
Der Tod des Junggesellen	NA	NA			97220-Schnitzler__Arthur.txt	
Der tote Gabriel	NA	NA			97221-Schnitzler__Arthur.txt	
Der Weg ins Freie	NA	1908		wegfreie.txt	97181-Schnitzler__Arthur.txt	
Der Witwer	NA	NA		witwer.txt	97198-Schnitzler__Arthur.txt	
Die Braut	NA	1895		diebraut.txt	97192-Schnitzler__Arthur.txt	
Die drei Elixiere	NA	1890		3elixier.txt	97191-Schnitzler__Arthur.txt	
Die dreifache Warnung	NA	NA		3warnung.txt	97224-Schnitzler__Arthur.txt	
Die Frau des Richters	NA	1925		frichter.txt	97231-Schnitzler__Arthur.txt	
Die Frau des Weisen	NA	1898		frauweis.txt	97201-Schnitzler__Arthur.txt	
Die Fremde	NA	1902		fremde.txt	97213-Schnitzler__Arthur.txt	
Die Gefährtin	NA	1899		gefaehrt.txt		
Die griechische Tänzerin	NA	NA		grtaenze.txt	97215-Schnitzler__Arthur.txt	
Die grüne Krawatte	NA	NA			97212-Schnitzler__Arthur.txt	
Die Hirtenflöte	NA	1922		hirtenfl.txt	97225-Schnitzler__Arthur.txt	
Die kleine Komödie	NA	NA			97195-Schnitzler__Arthur.txt	
Die Nächste	NA	NA			97205-Schnitzler__Arthur.txt	
Die Toten schweigen	NA	NA		totschwg.txt	97203-Schnitzler__Arthur.txt	
Die Weissagung	NA	NA		weissagu.txt	97217-Schnitzler__Arthur.txt	
